id1,cn,pinyin,vocabulary,pinyin_vocab,th,sentence_test,pinyin_sentence,translate
50,云,yún,白云,bái yún,เมฆขาว,白云在天空飘,,เมฆสีขาวลอยอยู่บนท้องฟ้า
51,电,diàn,电视,diàn shì,โทรทัศน์,我在看电视,,ฉันกำลังดูโทรทัศน์
52,石,shí,石头,shí tóu,ก้อนหิน,河边有很多石头,,ริมแม่น้ำมีหินมากมาย
53,了,liǎo,好了,hǎo liǎo,เสร็จแล้ว,作业写好了,,ทำการบ้านเสร็จแล้ว
54,来,lái,出来,chū lái,ออกมา,小猫从房间里出来,,ลูกแมวเดินออกมาจากห้อง
55,玉,yù,宝玉,bǎo yù,หยกล้ำค่า,宝玉放在盒子里,,หยกวางอยู่ในกล่อง
56,去,qù,出去,chū qù,ออกไป,放学后我们出去玩,,หลังเลิกเรียนพวกเราออกไปเล่น
57,回,huí,回来,huí lái,กลับมา,爸爸晚上回来,,พ่อกลับมาตอนกลางคืน
58,多,duō,很多,hěn duō,มากมาย,这里有很多人,,ที่นี่มีคนมากมาย
59,少,shǎo,多少,duō shǎo,เท่าไหร่,你有多少本书,,คุณมีหนังสือกี่เล่ม
60,问,wèn,问好,wèn hǎo,ทักทาย/ถามไถ่,见到老师要问好,,เมื่อพบครูต้องทักทาย
61,早,zǎo,早上,zǎo shàng,ตอนเช้า,早上我要早起上学,,ตอนเช้าฉันต้องตื่นไปโรงเรียนแต่เช้า
62,巴,bā,尾巴,wěi bā,หาง,小狗摇着尾巴,,ลูกสุนัขส่ายหาง
63,父,fù,父亲,fù qīn,คุณพ่อ,父亲送我去学校,,พ่อไปส่งฉันที่โรงเรียน
64,工,gōng,工人,gōng rén,คนงาน,工人在工厂工作,,คนงานทำงานอยู่ในโรงงาน
65,力,lì,力气,lì qì,แรง / กำลัง,他有很大的力气,,เขามีพละกำลังมาก
66,不,bù,不会,bú huì,ไม่เป็น/ทำไม่ได้,这个字我不会写,,ตัวอักษรนี้ฉันเขียนไม่เป็น
67,干,gān,干活,gān huó,ทำงาน,爸爸在家里干活,,พ่อทำงานอยู่ที่บ้าน
68,几,jī,几只,jī zhī,กี่ตัว,树上有几只鸟,,บนต้นไม้มีนกกี่ตัว
69,男,nán,男人,nán rén,ผู้ชาย,那个男人在等车,,ผู้ชายคนนั้นกำลังรอรถ
70,坐,zuò,坐车,zuò chē,นั่งรถ,我们坐车去学校,,พวกเรานั่งรถไปโรงเรียน
71,打,dǎ,打针,dǎ zhēn,ฉีดยา,孩子害怕打针,,เด็กกลัวการฉีดยา
72,四,sì,四个,sì gè,สี่อัน,我有四个苹果,,ฉันมีแอปเปิลสี่ลูก
73,五,wǔ,五个,wǔ gè,ห้าอัน,桌上有五个杯子,,บนโต๊ะมีแก้วห้าใบ
74,六,liù,六月,liù yuè,เดือนมิถุนายน,六月天气很热,,เดือนมิถุนายนอากาศร้อนมาก
75,闪,shǎn,闪电,shǎn diàn,ฟ้าแลบ / สายฟ้า,天空中出现了闪电,,บนท้องฟ้าเกิดฟ้าแลบ
76,的,de,我的,wǒ de,ของฉัน,这是我的书,,นี่คือหนังสือของฉัน
77,花,huā,花儿,huā ér,ดอกไม้,花儿在风中摇,,ดอกไม้ไหวตามลม
78,朵,duǒ,花朵,huā duǒ,ดอกไม้,花朵开得很美,,ดอกไม้บานสวยงาม
79,果,guǒ,果子,guǒ zǐ,ผลไม้,树上结了果子,,บนต้นไม้มีผลออกมาแล้ว
80,比,bǐ,比赛,bǐ sài,แข่งขัน,我们参加比赛,,พวกเราเข้าร่วมการแข่งขัน
81,午,wǔ,中午,zhōng wǔ,ตอนเที่ยง,中午我们一起吃饭,,ตอนเที่ยงพวกเรากินข้าวด้วยกัน
82,面,miàn,面条,miàn tiáo,บะหมี่,我喜欢吃面条,,ฉันชอบกินบะหมี่
83,高,gāo,高大,gāo dà,สูงใหญ่,他又高大又强壮,,เขาทั้งตัวสูงและแข็งแรง
84,包,bāo,包子,bāo zǐ,ซาลาเปา,包子很好吃,,ซาลาเปาอร่อยมาก
85,文,wén,文化,wén huà,วัฒนธรรม,我们学习中国文化,,พวกเราเรียนรู้วัฒนธรรมจีน
86,分,fēn,分开,fēn kāi,แยกออก,我们不要分开,,พวกเราอย่าแยกจากกัน
87,平,píng,天平,tiān píng,เครื่องชั่ง,天平可以称重量,,เครื่องชั่งสามารถชั่งน้ำหนักได้
88,我,wǒ,我们,wǒ mén,พวกเรา,我们一起学习,,พวกเราเรียนด้วยกัน
89,连,lián,连起来,lián qǐ lái,เชื่อมต่อกัน,把线连起来,,นำเส้นเชื่อมเข้าด้วยกัน
90,元,yuán,两元,liǎng yuán,2 หยวน,这个玩具两元,,ของเล่นชิ้นนี้ราคา 2 หยวน
91,丁,dīng,布丁,bù dīng,พุดดิ้ง,我喜欢吃布丁,,ฉันชอบกินพุดดิ้ง
92,厂,chǎng,工厂,gōng chǎng,โรงงาน,爸爸在工厂上班,,พ่อทำงานอยู่ในโรงงาน
93,目,mù,节目,jié mù,รายการ/โปรแกรม,这个节目很好看,,รายการนี้ดูสนุกมาก
94,见,jiàn,见面,jiàn miàn,พบกัน,我们明天见面,,พวกเราเจอกันพรุ่งนี้
95,兔,tù,兔子,tù zǐ,กระต่าย,兔子在草地上跳,,กระต่ายกระโดดอยู่บนสนามหญ้า
96,禾,hé,禾苗,hé miáo,ต้นกล้าข้าว,禾苗慢慢长大,,ต้นกล้าค่อย ๆ เติบโต
97,是,shì,不是,bù shì,ไม่ใช่,这不是我的书,,นี่ไม่ใช่หนังสือของฉัน
98,把,bǎ,把手,bǎ shǒu,ที่จับ/ด้ามจับ,门上有一个把手,,บนประตูมีมือจับหนึ่งอัน
99,笑,xiào,笑脸,xiào liǎn,ใบหน้ายิ้มแย้ม,孩子露出笑脸,,เด็กยิ้มออกมา
100,着,zhe,看着,kàn zhe,มองดู,妈妈看着我笑,,แม่มองฉันแล้วยิ้ม
101,看,kàn,看见,kàn jiàn,เห็น,我看见小猫在睡觉,,ฉันเห็นลูกแมวกำลังนอนหลับ
102,会,huì,会飞,huì fēi,บินได้,小鸟会飞到天空,,นกตัวเล็กบินขึ้นไปบนท้องฟ้าได้
103,自,zì,自己,zì jǐ,ตัวเอง,我自己穿衣服,,ฉันแต่งตัวด้วยตัวเอง
104,己,jǐ,自己,zì jǐ,ตัวเอง,他自己整理书包,,เขาจัดกระเป๋านักเรียนด้วยตัวเอง
105,画,huà,画画,huà huà,วาดรูป,妹妹喜欢画画,,น้องสาวชอบวาดรูป
106,好,hǎo,好吃,hǎo chī,อร่อย,这个蛋糕很好吃,,เค้กชิ้นนี้อร่อยมาก
107,爱,ài,关爱,guān ài,ดูแลด้วยความรัก,妈妈关爱孩子,,แม่ดูแลเอาใจใส่ลูก
108,心,xīn,开心,kāi xīn,มีความสุข,我今天很开心,,วันนี้ฉันมีความสุขมาก
109,也,yě,也是,yě shì,ก็เป็น/ด้วย,我也是学生,,ฉันก็เป็นนักเรียนเหมือนกัน
110,可,kě,可乐,kě lè,โคล่า,我想喝可乐,,ฉันอยากดื่มโคล่า
111,家,jiā,回家,huí jiā,กลับบ้าน,放学后我要回家,,หลังเลิกเรียนฉันจะกลับบ้าน
112,爸,bà,爸爸,bà bà,คุณพ่อ,爸爸在工作,,พ่อกำลังทำงาน
113,妈,mā,妈妈,mā mā,คุณแม่,妈妈在做饭,,แม่กำลังทำอาหาร
114,这,zhè,这里,zhè lǐ,ที่นี่,我在这里等你,,ฉันรอคุณอยู่ที่นี่
115,爷,yé,爷爷,yé ye,คุณปู่,爷爷在看书,,คุณปู่กำลังอ่านหนังสือ
116,奶,nǎi,奶奶,nǎi nai,คุณย่า,奶奶喜欢种花,,คุณย่าชอบปลูกดอกไม้
117,们,mén,我们,wǒ mén,พวกเรา,我们一起学习,,พวกเราเรียนด้วยกัน
118,书,shū,书架,shū jià,ชั้นวางหนังสือ,书在书架上,,หนังสืออยู่บนชั้นหนังสือ
119,串,chuàn,一串,yī chuàn,หนึ่งไม้/หนึ่งชุด,桌上有一串葡萄,,บนโต๊ะมีองุ่นหนึ่งพวง
120,球,qiú,足球,zú qiú,ฟุตบอล,我喜欢踢足球,,ฉันชอบเตะฟุตบอล
121,圆,yuán,圆形,yuán xíng,วงกลม,这个球是圆形,,ลูกบอลลูกนี้เป็นทรงกลม
122,形,xíng,图形,tú xíng,รูปทรง,老师教我们图形,,ครูสอนพวกเราเรื่องรูปทรง
123,长,cháng,好长,hǎo cháng,ยาวมาก,这条路好长,,ถนนเส้นนี้ยาวมาก
124,方,fāng,长方形,cháng fāng xíng,สี่เหลี่ยมผืนผ้า,门是长方形的,,ประตูเป็นรูปสี่เหลี่ยมผืนผ้า
125,正,zhèng,立正,lì zhèng,ยืนตรง,我们排队立正,,พวกเราเข้าแถวและยืนตรง
126,角,jiǎo,牛角,niú jiǎo,เขาวัว,牛角长在头上,,เขาวัวงอกอยู่บนหัว
127,灯,dēng,灯光,dēng guāng,แสงไฟ,夜晚的灯光很亮,,แสงไฟยามค่ำคืนสว่างมาก
128,块,kuài,土块,tǔ kuài,ก้อนดิน,地上有小土块,,บนพื้นมีก้อนดินเล็ก ๆ
129,冰,bīng,冰雪,bīng xuě,หิมะน้ำแข็ง,冬天有冰雪,,ฤดูหนาวมีน้ำแข็งและหิมะ
130,那,nà,那边,nà biān,ตรงนั้น,学校在那边,,โรงเรียนอยู่ทางนั้น
131,弓,gōng,弓箭,gōng jiàn,ธนูและลูกศร,他画了一把弓箭,,เขาวาดคันธนูหนึ่งอัน
132,买,mǎi,买东西,mǎi dōng xī,ซื้อของ,妈妈去买东西,,แม่ไปซื้อของ
133,哪,nǎ,哪里,nǎ lǐ,ที่ไหน,你住在哪里,,คุณอาศัยอยู่ที่ไหน
134,乐,lè,快乐,kuài lè,มีความสุข,孩子们很快乐,,เด็ก ๆ มีความสุขมาก
135,谢,xiè,感谢,gǎn xiè,ขอบคุณ,我感谢老师,,ฉันขอบคุณครู
136,想,xiǎng,想象,xiǎng xiàng,จินตนาการ,我喜欢想象故事,,ฉันชอบจินตนาการเรื่องราว
137,抱,bào,抱一抱,bào yī bào,กอดกัน,妈妈抱一抱我,,แม่กอดฉัน
138,竹,zhú,竹子,zhú zǐ,ไม้ไผ่,熊猫爱吃竹子,,แพนด้าชอบกินไผ่
139,要,yào,想要,xiǎng yào,อยากได้,我想要新书,,ฉันอยากได้หนังสือใหม่
140,立,lì,立正,lì zhèng,ยืนตรง,大家站好立正,,ทุกคนยืนตรงให้เรียบร้อย
141,耳,ěr,耳朵,ěr duǒ,ใบหู,小兔子有长耳朵,,กระต่ายน้อยมีหูยาว
142,红,hóng,红色,hóng sè,สีแดง,苹果是红色的,,แอปเปิลเป็นสีแดง
143,色,sè,白色,bái sè,สีขาว,云是白色的,,เมฆเป็นสีขาว
144,吃,chī,吃饭,chī fàn,รับประทานอาหาร,我们一起吃饭,,พวกเรากินข้าวด้วยกัน
145,香,xiāng,香味,xiāng wèi,กลิ่นหอม,厨房有香味,,ในครัวมีกลิ่นหอม
146,穿,chuān,穿过,chuān guò,ผ่านไป,小猫穿过小路,,ลูกแมวเดินผ่านทางเล็ก ๆ
147,身,shēn,身体,shēn tǐ,ร่างกาย,运动对身体好,,การออกกำลังกายดีต่อร่างกาย
148,它,tā,它们,tā mén,พวกมัน,它们在一起玩,,พวกมันเล่นด้วยกัน
149,发,fā,头发,tóu fā,เส้นผม,她的头发很长,,ผมของเธอยาวมาก
150,衣,yī,衣服,yī fú,เสื้อผ้า,衣服要洗干净,,เสื้อผ้าต้องซักให้สะอาด
151,他,tā,他们,tā mén,พวกเขา (ผู้ชาย),他们在踢球,,พวกเขากำลังเตะบอล
152,她,tā,她们,tā mén,พวกเธอ (ผู้หญิง),她们在唱歌,,พวกเธอกำลังร้องเพลง
153,毛,máo,毛毛虫,máo máo chóng,หนอนผีเสื้อ,毛毛虫在叶子上,,หนอนผีเสื้ออยู่บนใบไม้
154,朋,péng,朋友,péng yǒu,เพื่อน,他是我的朋友,,เขาเป็นเพื่อนของฉัน
155,友,yǒu,友好,yǒu hǎo,เป็นมิตร,大家要友好相处,,ทุกคนควรอยู่ร่วมกันอย่างเป็นมิตร
156,哥,gē,哥哥,gē ge,พี่ชาย,哥哥会写字,,พี่ชายเขียนหนังสือได้
157,弟,dì,弟弟,dì di,น้องชาย,弟弟在玩球,,น้องชายกำลังเล่นบอล
158,兄,xiōng,兄弟,xiōng dì,พี่น้องผู้ชาย,他们是兄弟,,พวกเขาเป็นพี่น้องกัน
159,眉,méi,眉毛,méi máo,คิ้ว,他的眉毛很粗,,คิ้วของเขาหนา
160,鼻,bí,鼻子,bí zǐ,จมูก,小狗的鼻子很灵,,จมูกของลูกสุนัขไวมาก
161,光,guāng,阳光,yáng guāng,แสงแดด,阳光照进教室,,แสงแดดส่องเข้ามาในห้องเรียน
162,星,xīng,星星,xīng xīng,ดาว,夜晚有星星,,กลางคืนมีดวงดาว
163,阳,yáng,阳光,yáng guāng,แสงอาทิตย์,早上有阳光,,ตอนเช้ามีแสงแดด
164,亮,liàng,明亮,míng liàng,สว่างไสว,房间很明亮,,ห้องสว่างมาก
165,今,jīn,今天,jīn tiān,วันนี้,今天我上学,,วันนี้ฉันไปโรงเรียน
166,明,míng,明亮,míng liàng,สว่างไสว,灯让教室明亮,,ไฟทำให้ห้องเรียนสว่าง
167,走,zǒu,走路,zǒu lù,เดิน,我们走路回家,,พวกเราเดินกลับบ้าน
168,兴,xìng,高兴,gāo xìng,มีความสุข,我见到你很高兴,,ฉันดีใจมากที่ได้พบคุณ
169,空,kōng,空气,kōng qì,อากาศ,早上的空气很好,,อากาศตอนเช้าดีมาก
170,两,liǎng,两个,liǎng gè,สองอัน,我有两个朋友,,ฉันมีเพื่อนสองคน
171,哭,kū,大哭,dà kū,ร้องไห้จ้า,孩子摔倒大哭,,เด็กหกล้มร้องไห้เสียงดัง
172,牙,yá,虫牙,chóng yá,ฟันผุ,他有一颗虫牙,,เขามีฟันผุหนึ่งซี่
173,肚,dù,肚子,dù zǐ,ท้อง,我的肚子饿了,,ฉันหิวแล้ว
174,尾,wěi,尾巴,wěi bā,หาง,小狗摇尾巴,,ลูกสุนัขส่ายหาง
175,你,nǐ,你好,nǐ hǎo,สวัสดี,老师你好,,สวัสดีคุณครู
176,脸,liǎn,洗脸,xǐ liǎn,ล้างหน้า,早上要洗脸,,ตอนเช้าต้องล้างหน้า
177,黑,hēi,黑色,hēi sè,สีดำ,猫是黑色的,,แมวเป็นสีดำ
178,半,bàn,一半,yī bàn,ครึ่งหนึ่ง,我吃了一半,,ฉันกินไปครึ่งหนึ่ง
179,呀,yā,哎呀,āi yā,โอ๊ะ/ว้าย,哎呀，我忘记了,,โอ้ ฉันลืมไปแล้ว
180,吗,mā,在吗,zài mā,อยู่ไหม,你在吗,,คุณอยู่ไหม
181,七,qī,七个,qī gè,เจ็ดอัน,盒子里有七个球,,ในกล่องมีลูกบอลเจ็ดลูก
182,八,bā,八爪鱼,bā zhuǎ yú,ปลาหมึกยักษ์,八爪鱼住在海里,,ปลาหมึกแปดขาอาศัยอยู่ในทะเล
183,九,jiǔ,九月,jiǔ yuè,เดือนกันยายน,九月开始上学,,เดือนกันยายนเริ่มเข้าเรียน
184,十,shí,十个,shí gè,สิบอัน,我有十个手指,,ฉันมีนิ้วมือสิบ นิ้ว
185,又,yòu,又一个,yòu yī gè,อีกหนึ่งอัน,我又一个问题,,ฉันมีอีกหนึ่งคำถาม
186,很,hěn,很长,hěn cháng,ยาวมาก,这条河很长,,แม่น้ำสายนี้ยาวมาก
187,太,tài,太大,tài dà,ใหญ่มาก,这个书包太大,,กระเป๋านักเรียนใบนี้ใหญ่เกินไป
188,宝,bǎo,宝石,bǎo shí,อัญมณี,宝石闪闪发光,,อัญมณีเปล่งประกายแวววาว
189,贝,bèi,贝壳,bèi ké,เปลือกหอย,沙滩上有贝壳,,บนชายหาดมีเปลือกหอย
190,和,hé,和平,hé píng,สันติภาพ,世界需要和平,,โลกต้องการสันติภาพ
191,关,guān,关上,guān shàng,ปิด,请关上门,,กรุณาปิดประตู
192,园,yuán,花园,huā yuán,สวนดอกไม้,花园里有花,,ในสวนมีดอกไม้
193,生,shēng,生长,shēng zhǎng,เติบโต,植物慢慢生长,,พืชค่อย ๆ เจริญเติบโต
194,公,gōng,公公,gōng gōng,คุณตา,公公喜欢散步,,คุณตาชอบเดินเล่น
195,苗,miáo,树苗,shù miáo,ต้นกล้า,树苗要浇水,,ต้นกล้าต้องรดน้ำ
196,叶,yè,叶子,yè zǐ,ใบไม้,叶子变绿了,,ใบไม้เปลี่ยนเป็นสีเขียว
197,林,lín,树林,shù lín,ป่าไม้,树林里很安静,,ในป่าเงียบสงบมาก
198,草,cǎo,小草,xiǎo cǎo,ต้นหญ้าเล็ก,小草在风中动,,หญ้าเล็ก ๆ ไหวตามลม
199,先,xiān,先后,xiān hòu,ก่อน-หลัง,大家先后进门,,ทุกคนเข้าไปในประตูตามลำดับ
200,岛,dǎo,海岛,hǎi dǎo,เกาะทะเล,海岛在大海中,,เกาะอยู่กลางทะเล
201,嘴,zuǐ,嘴巴,zuǐ bā,ปาก,小狗张开嘴巴吃饭。,,ลูกสุนัขอ้าปากกินข้าว
202,眼,yǎn,眼花,yǎn huā,ตาลาย,跑得太快让我眼花。,,วิ่งเร็วเกินไปทำให้ฉันตาลาย
203,睛,jīng,眼睛,yǎn jīng,ดวงตา,我的眼睛看得很清楚。,,ดวงตาของฉันมองเห็นได้ชัดเจนมาก
204,脚,jiǎo,脚丫,jiǎo yā,เท้าเล็ก,孩子的脚丫很可爱。,,เท้าเล็ก ๆ ของเด็กน่ารักมาก
205,腿,tuǐ,大腿,dà tuǐ,ต้นขา,他跑步时大腿很用力。,,ตอนเขาวิ่ง ต้นขาออกแรงมาก
206,翅,chì,翅膀,chì bǎng,ปีก,小鸟张开翅膀飞走。,,นกตัวเล็กกางปีกแล้วบินจากไป
207,膀,bǎng,肩膀,jiān bǎng,ไหล่,爸爸把包放在肩膀上。,,พ่อสะพายกระเป๋าไว้บนไหล่
208,羽,yǔ,羽毛,yǔ máo,ขนนก,地上有一根羽毛。,,บนพื้นมีขนนกหนึ่งเส้น
209,体,tǐ,身体,shēn tǐ,ร่างกาย,运动对身体很好。,,การออกกำลังกายดีต่อร่างกายมาก
210,没,méi,没有,méi yǒu,ไม่มี,今天没有下雨。,,วันนี้ฝนไม่ตก
211,认,rèn,认真,rèn zhēn,ตั้งใจ/จริงจัง,他认真听老师讲课。,,เขาตั้งใจฟังครูสอน
212,识,shí,认识,rèn shí,รู้จัก,我认识很多新朋友。,,ฉันรู้จักเพื่อนใหม่หลายคน
213,颜,yán,颜色,yán sè,สี,这些颜色很好看。,,สีเหล่านี้ดูสวยงามมาก
214,黄,huáng,黄色,huáng sè,สีเหลือง,香蕉是黄色的。,,กล้วยเป็นสีเหลือง
215,蓝,lán,蓝莓,lán méi,บลูเบอร์รี่,蓝莓酸酸甜甜的。,,บลูเบอร์รีมีรสเปรี้ยวอมหวาน
216,绿,lǜ,绿色,lǜ sè,สีเขียว,树叶是绿色的。,,ใบไม้เป็นสีเขียว
217,粉,fěn,面粉,miàn fěn,แป้ง,妈妈用面粉做蛋糕。,,แม่ใช้แป้งทำเค้ก
218,青,qīng,青草,qīng cǎo,หญ้าเขียว,牛在吃青草。,,วัวกำลังกินหญ้า
219,紫,zǐ,紫色,zǐ sè,สีม่วง,花朵是紫色的。,,ดอกไม้เป็นสีม่วง
220,彩,cǎi,彩色,cǎi sè,สีสัน,彩色气球飞上天。,,ลูกโป่งหลากสีลอยขึ้นสู่ท้องฟ้า
221,食,shí,食物,shí wù,อาหาร,桌上有很多食物。,,บนโต๊ะมีอาหารมากมาย
222,物,wù,礼物,lǐ wù,ของขวัญ,这是送给你的礼物。,,นี่คือของขวัญที่ให้คุณ
223,尝,cháng,尝一尝,cháng yī cháng,ลองชิม,我想尝一尝这个。,,ฉันอยากลองชิมดู
224,闻,wén,新闻,xīn wén,ข่าว,爸爸在看新闻。,,พ่อกำลังดูข่าว
225,味,wèi,味道,wèi dào,รสชาติ,这个汤味道很好。,,ซุปนี้รสชาติดีมาก
226,鲜,xiān,鲜美,xiān měi,สดอร่อย,鱼汤非常鲜美。,,ซุปปลามีรสชาติอร่อยมาก
227,苦,kǔ,痛苦,tòng kǔ,เจ็บปวด,摔倒时会感到痛苦。,,เวลาล้มจะรู้สึกเจ็บ
228,甜,tián,甜蜜,tián mì,หวานชื่น,糖果吃起来很甜蜜。,,ลูกอมกินแล้วหวานมาก
229,什,shén,什么,shén me,อะไร,你在看什么？,,คุณกำลังดูอะไรอยู่
230,么,me,怎么,zěn me,ยังไง,你怎么做到的？,,คุณทำได้อย่างไร
231,起,qǐ,起来,qǐ lái,ลุกขึ้น,早上要早点起来。,,ตอนเช้าต้องตื่นให้เช้า
232,运,yùn,运动,yùn dòng,ออกกำลังกาย,每天运动身体好。,,ออกกำลังกายทุกวันร่างกายแข็งแรง
233,动,dòng,动作,dòng zuò,ท่าทาง,他的动作很标准。,,ท่าทางของเขาถูกต้องมาก
234,踢,tī,踢球,tī qiú,เตะบอล,我们在操场踢球。,,พวกเราเตะบอลอยู่ที่สนาม
235,足,zú,足球,zú qiú,ฟุตบอล,我最喜欢足球。,,ฉันชอบฟุตบอลที่สุด
236,赛,sài,比赛,bǐ sài,แข่งขัน,学校有一场比赛。,,โรงเรียนมีการแข่งขันหนึ่งรายการ
237,快,kuài,飞快,fēi kuài,เร็วมาก,小猫飞快地跑走。,,ลูกแมววิ่งหนีไปอย่างรวดเร็ว
