cn,pinyin,vocabulary,pinyin_vocab,th,id1,sentence_test,translate
多,duō,很多," hěn duō ",มากมาย,58,这里有很多人,ที่นี่มีคนมากมาย
少,shǎo,多少," duō shǎo ",เท่าไหร่,59,你有多少本书,คุณมีหนังสือกี่เล่ม
问,wèn,问好," wèn hǎo",ทักทาย/ถามไถ่,60,见到老师要问好,เมื่อพบครูต้องทักทาย
早,zǎo,早上,"zǎo shàng ",ตอนเช้า,61,早上我要早起上学,ตอนเช้าฉันต้องตื่นไปโรงเรียนแต่เช้า
巴,bā,尾巴," wěi bā ",หาง,62,小狗摇着尾巴,ลูกสุนัขส่ายหาง
父,fù,父亲," fù qīn ",คุณพ่อ,63,父亲送我去学校,พ่อไปส่งฉันที่โรงเรียน
工,gōng,工人," gōng rén ",คนงาน,64,工人在工厂工作,คนงานทำงานอยู่ในโรงงาน
力,lì,力气," lì qì ",กำลัง/พลังงาน,65,他有很大的力气,เขามีพละกำลังมาก
不,bù,不会," bú huì ",ไม่เป็น/ทำไม่ได้,66,这个字我不会写,ตัวอักษรนี้ฉันเขียนไม่เป็น
干,gān,干活," gān huó ",ทำงาน,67,爸爸在家里干活,พ่อทำงานอยู่ที่บ้าน
几,jī,几只," jī zhī ",กี่ตัว,68,树上有几只鸟,บนต้นไม้มีนกอยู่หลายตัว
男,nán,男人," nán rén ",ผู้ชาย,69,那个男人在等车,ผู้ชายคนนั้นกำลังรอรถ
坐,zuò,坐车," zuò chē",นั่งรถ,70,我们坐车去学校,พวกเรานั่งรถไปโรงเรียน
打,dǎ,打针,"dǎ zhēn ",ฉีดยา,71,孩子害怕打针,เด็กกลัวการฉีดยา
四,sì,四个," sì gè ",สี่อัน,72,我有四个苹果,ฉันมีแอปเปิลสี่ลูก
五,wǔ,五个," wǔ gè ",ห้าอัน,73,桌上有五个杯子,บนโต๊ะมีแก้วห้าใบ
六,liù,六月," liù yuè ",เดือนมิถุนายน,74,六月天气很热,เดือนมิถุนายนอากาศร้อนมาก
闪,shǎn,闪电," shǎn diàn ",ฟ้าผ่า,75,天空中出现了闪电,บนท้องฟ้าเกิดฟ้าแลบ
的,de,我的," wǒ de ",ของฉัน,76,这是我的书,นี่คือหนังสือของฉัน
花,huā,花儿," huā ér ",ดอกไม้,77,花儿在风中摇,ดอกไม้ไหวตามลม
朵,duǒ,花朵," huā duǒ ",ดอกไม้,78,花朵开得很美,ดอกไม้บานสวยงาม
果,guǒ,果子," guǒ zǐ ",ผลไม้,79,树上结了果子,บนต้นไม้มีผลไม้
比,bǐ,比赛," bǐ sài ",แข่งขัน,80,我们参加比赛,พวกเราเข้าร่วมการแข่งขัน
午,wǔ,中午," zhōng wǔ ",ตอนเที่ยง,81,中午我们一起吃饭,ตอนเที่ยงพวกเรากินข้าวด้วยกัน
面,miàn,面条," miàn tiáo ",บะหมี่,82,我喜欢吃面条,ฉันชอบกินบะหมี่
高,gāo,高大," gāo dà ",สูงใหญ่,83,他又高大又强壮,เขาทั้งตัวสูงและแข็งแรง
包,bāo,包子," bāo zǐ ",ซาลาเปา,84,包子很好吃,ซาลาเปาอร่อยมาก
文,wén,文化," wén huà ",วัฒนธรรม,85,我们学习中国文化,พวกเราเรียนรู้วัฒนธรรมจีน
分,fēn,分开," fēn kāi ",แยกออก,86,我们不要分开,พวกเราอย่าแยกจากกัน
平,píng,天平," tiān píng ",คาน/เครื่องชั่ง,87,天平可以称重量,ตาชั่งสามารถชั่งน้ำหนักได้
我,wǒ,我们," wǒ mén ",พวกเรา,88,我们一起学习,พวกเราเรียนด้วยกัน
连,lián,连起来," lián qǐ lái ",เชื่อมต่อกัน,89,把线连起来,นำเส้นเชื่อมเข้าด้วยกัน
元,yuán,两元," liǎng yuán",สองหยวน,90,这个玩具两元,ของเล่นชิ้นนี้ราคา 2 หยวน
丁,dīng,布丁,"bù dīng ",พุดดิ้ง,91,我喜欢吃布丁,ฉันชอบกินพุดดิ้ง
厂,chǎng,工厂," gōng chǎng ",โรงงาน,92,爸爸在工厂上班,พ่อทำงานอยู่ในโรงงาน
目,mù,节目," jié mù ",รายการ/โปรแกรม,93,这个节目很好看,รายการนี้ดูสนุกมาก
见,jiàn,见面," jiàn miàn ",พบกัน,94,我们明天见面,พวกเราเจอกันพรุ่งนี้
兔,tù,兔子," tù zǐ ",กระต่าย,95,兔子在草地上跳,กระต่ายกระโดดอยู่บนสนามหญ้า
禾,hé,禾苗," hé miáo ",ต้นกล้าข้าว,96,禾苗慢慢长大,ต้นกล้าค่อย ๆ เติบโต
是,shì,不是," bù shì ",ไม่ใช่,97,这不是我的书,นี่ไม่ใช่หนังสือของฉัน
把,bǎ,把手," bǎ shǒu ",ที่จับ/ด้ามจับ,98,门上有一个把手,บนประตูมีมือจับหนึ่งอัน
笑,xiào,笑脸," xiào liǎn ",ใบหน้ายิ้มแย้ม,99,孩子露出笑脸,เด็กยิ้มออกมา
着,zhe,看着," kàn zhe",มองดู,100,妈妈看着我笑,แม่มองฉันแล้วยิ้ม
