cn,pinyin,vocabulary,pinyin_vocab,th,id1,sentence_test,translate
赛,sài,比赛," bǐ sài ",แข่งขัน,236,学校有一场比赛。,โรงเรียนมีการแข่งขันหนึ่งรายการ
快,kuài,飞快," fēi kuài ",เร็วมาก,237,小猫飞快地跑走。,ลูกแมววิ่งหนีไปอย่างรวดเร็ว
慢,màn,慢慢," màn màn ",ช้าๆ,238,小船慢慢前进。,เรือลำเล็กค่อย ๆ แล่นไปข้างหน้า
跑,pǎo,跑步," pǎo bù ",วิ่ง,239,我每天早上跑步。,ฉันวิ่งทุกเช้า
步,bù,散步," sàn bù ",เดินเล่น,240,晚饭后一起散步。,หลังอาหารเย็นไปเดินเล่นด้วยกัน
唱,chàng,唱歌," chàng gē ",ร้องเพลง,241,妹妹喜欢唱歌。,น้องสาวชอบร้องเพลง
歌,gē,歌声," gē shēng ",เสียงเพลง,242,歌声很好听。,เสียงเพลงไพเราะมาก
跳,tiào,跳水," tiào shuǐ ",กระโดดน้ำ,243,哥哥在游泳池跳水。,พี่ชายกระโดดน้ำในสระว่ายน้ำ
舞,wǔ,舞狮," wǔ shī ",เชิดสิงโต,244,春节有舞狮表演。,ช่วงตรุษจีนมีการแสดงเชิดสิงโต
吹,chuī,吹喇叭," chuī lǎ bā ",เป่าแตร,245,他在吹喇叭。,เขากำลังเป่าแตร
号,hào,小号," xiǎo hào ",ทรัมเป็ต,246,哥哥会吹小号。,พี่ชายเป่าแตรเล็กได้
讲,jiǎng,讲话," jiǎng huà ",พูด,247,老师正在讲话。,ครูกำลังพูด
故,gù,故事," gù shì ",นิทาน,248,妈妈给我讲故事。,แม่เล่าเรื่องให้ฉันฟัง
事,shì,事情," shì qíng ",เรื่องราว,249,这件事情很重要。,เรื่องนี้สำคัญมาก
怎,zěn,怎么办," zěn me bàn ",ทำยังไง,250,下雨了怎么办？,ฝนตกแล้วจะทำอย่างไรดี
帮,bāng,帮助," bāng zhù ",ช่วย,251,朋友会帮助我。,เพื่อนจะช่วยฉัน
找,zhǎo,找到," zhǎo dào ",หาเจอ,252,我找到我的书了。,ฉันหาเจอหนังสือของฉันแล้ว
欢,huān,欢乐," huān lè ",ความสุข / สนุกสนาน,253,操场充满欢乐。,สนามเต็มไปด้วยความสนุกสนาน
担,dān,担心," dān xīn ",กังวล,254,妈妈担心我。,แม่เป็นห่วงฉัน
闷,mèn,苦闷," kǔ mèn ",หดหู่ / อึดอัด,255,下雨天让我苦闷。,วันฝนตกทำให้ฉันรู้สึกอึดอัด
急,jí,着急," zhāo jí ",รีบเร่ง / กระวนกระวาย,256,找不到书很着急。,หาไม่เจอหนังสือทำให้ร้อนใจมาก
害,hài,害虫," hài chóng ",แมลงศัตรูพืช,257,农田里有害虫。,ในนามีแมลงศัตรูพืช
怕,pà,害怕," hài pà ",กลัว,258,孩子一个人会害怕。,เด็กอยู่คนเดียวจะรู้สึกกลัว
惊,jīng,吃惊," chī jīng ",ตกใจ,259,我听到消息很吃惊。,ฉันได้ยินข่าวแล้วตกใจมาก
哈,hā,笑哈哈," xiào hā hā",หัวเราะเสียงดัง,260,孩子们笑哈哈。,เด็ก ๆ หัวเราะอย่างสนุกสนาน
老,lǎo,老人,"lǎo rén ",คนแก่,261,老人坐在公园里。,คนชรานั่งอยู่ในสวนสาธารณะ
师,shī,老师," lǎo shī ",ครู / อาจารย์,262,老师教我们写字。,ครูสอนพวกเราเขียนหนังสือ
同,tóng,同学," tóng xué ",เพื่อนร่วมชั้น,263,同学们一起学习。,เพื่อนร่วมชั้นเรียนด้วยกัน
学,xué,学会," xué huì ",เรียนรู้,264,我学会写汉字了。,ฉันเรียนรู้การเขียนอักษรจีนแล้ว
校,xiào,学校," xué xiào ",โรงเรียน,265,我每天去学校。,ฉันไปโรงเรียนทุกวัน
卓,zhuó,桌子," zhuō zǐ ",โต๊ะ,266,书放在桌子上。,หนังสือวางอยู่บนโต๊ะ
椅,yǐ,椅子," yǐ zǐ ",เก้าอี้,267,椅子摆得很整齐。,เก้าอี้จัดวางอย่างเป็นระเบียบ
教,jiào,教导," jiào dǎo ",สั่งสอน / แนะนำ,268,老师认真教导学生。,ครูสอนนักเรียนอย่างตั้งใจ
室,shì,室内," shì nèi ",ในห้อง / ภายใน,269,下雨天在室内玩。,วันฝนตกเล่นอยู่ในอาคาร
课,kè,上课," shàng kè ",เข้าเรียน / เริ่มเรียน,270,我们准时上课。,พวกเราเข้าเรียนตรงเวลา
做,zuò,做梦," zuò mèng ",ฝัน,271,我晚上会做梦。,ตอนกลางคืนฉันจะฝัน
给,gěi,送给," sòng gěi ",มอบให้ / ส่งให้,272,这本书送给你。,หนังสือเล่มนี้ให้คุณ
操,cāo,早操," zǎo cāo ",ออกกำลังกายตอนเช้า,273,我们每天做早操。,พวกเราออกกำลังกายตอนเช้าทุกวัน
伸,shēn,伸长," shēn cháng ",ยืดออก / ขยาย,274,他把手臂伸长。,เขาเหยียดแขนยาวออกไป
拉,lā,拉手," lā shǒu ",จับมือ / จูงมือ,275,我们一起拉手走。,พวกเราจูงมือเดินไปด้วยกัน
举,jǔ,举起," jǔ qǐ ",ยกขึ้น / ชูขึ้น,276,大家举起小手。,ทุกคนยกมือเล็ก ๆ ขึ้น
拍,pāi,拍皮球," pāi pí qiú ",เดาะลูกบอล,277,孩子在拍皮球。,เด็กกำลังเดาะลูกบอล
抓,zhuā,抓住," zhuā zhù ",จับไว้,278,小猫抓住老鼠。,ลูกแมวจับหนูได้
拥,yōng,拥抱," yōng bào ",กอด,279,妈妈给我一个拥抱。,แม่กอดฉันหนึ่งครั้ง
扔,rēng,扔掉," rēng diào ",ทิ้ง / โยนทิ้ง,280,不要乱扔掉垃圾。,อย่าทิ้งขยะเรี่ยราด
寒,hán,寒冷," hán lěng ",หนาวเย็น,281,冬天的早晨很寒冷。,เช้าฤดูหนาวหนาวมาก
冷,lěng,寒冷," hán lěng ",หนาวเย็น,282,寒冷的风吹来了。,ลมหนาวพัดมาแล้ว
温,wēn,温水," wēn shuǐ ",น้ำอุ่น,283,我喝了一杯温水。,ฉันดื่มน้ำอุ่นหนึ่งแก้ว
暖,nuǎn,暖手," nuǎn shǒu ",มืออุ่น,284,手冷时要暖手。,มือเย็นต้องทำให้มืออุ่น
热,rè,热水," rè shuǐ ",น้ำร้อน,285,洗脸要用热水。,ล้างหน้าต้องใช้น้ำอุ่น
凉,liáng,凉快," liáng kuài ",เย็นสบาย,286,树下很凉快。,ใต้ต้นไม้เย็นสบาย
湿,shī,弄湿," nòng shī ",ทำให้เปียก,287,下雨把衣服弄湿了。,ฝนทำให้เสื้อผ้าเปียก
净,jìng,干净," gān jìng ",สะอาด,288,房间打扫得很干净。,ห้องถูกทำความสะอาดอย่างสะอาดมาก
到,dào,到达," dào dá ",ไปถึง / มาถึง,289,我们安全到达学校。,พวกเราไปถึงโรงเรียนอย่างปลอดภัย
都,dōu,都是," dōu shì ",ทั้งหมด / ต่างก็,290,这些书都是新的。,หนังสือเหล่านี้ล้วนเป็นของใหม่
办,bàn,办法," bàn fǎ ",วิธี / วิธีการ,291,老师有好办法。,ครูมีวิธีที่ดี
渴,kě,口渴," kǒu kě ",กระหายน้ำ,292,运动后会口渴。,หลังออกกำลังกายจะกระหายน้ำ
喝,hē,喝水," hē shuǐ ",ดื่มน้ำ,293,口渴时要喝水。,กระหายน้ำต้องดื่มน้ำ
饿,è,饥饿," jī è ",ความหิว,294,我感到有点饥饿。,ฉันรู้สึกหิวเล็กน้อย
饭,fàn,吃饭," chī fàn ",กินข้าว / รับประทานอาหาร,295,中午我们一起吃饭。,ตอนเที่ยงพวกเรากินข้าวด้วยกัน
睡,shuì,睡觉," shuì jiào",นอนหลับ,296,晚上要早点睡觉。,ตอนกลางคืนควรนอนให้เร็ว
觉,jiào,睡觉," shuì jiào",นอนหลับ,297,小猫在角落睡觉。,ลูกแมวนอนอยู่มุมห้อง
累,lèi,劳累," láo lèi",เหนื่อยล้า,298,一天学习很劳累。,เรียนมาทั้งวันเหนื่อยมาก
醒,xǐng,睡醒," shuì xǐng ",ตื่นนอน,299,我早上睡醒了。,ตอนเช้าฉันตื่นนอนแล้ว
雾,wù,大雾," dà wù ",หมอกหนา,300,早上有大雾。,ตอนเช้ามีหมอกหนา
