id1,cn,pinyin,vocabulary,pinyin_vocab,th,sentence_test,pinyin_sentence,translate
17,口,kǒu,开口,kāi kǒu,อ้าปาก,开口大笑,kāi kǒu dà xiào,หัวเราะลั่น
18,月,yuè,月亮,yuè liàng,พระจันทร์,天上有个月亮,tiān shàng yǒu gè yuè liàng,บนท้องฟ้ามีพระจันทร์หนึ่งดวง
19,羊,yáng,小羊,xiǎo yáng,ลูกแกะตัวเล็ก,三只小羊上山,sān zhǐ xiǎo yáng shàng shān,แกะน้อยสามตัวขึ้นเขา
20,只,zhī,一只,yī zhī,หนึ่งตัว,山上有一只大山羊,shān shàng yǒu yī zhī dà shān yáng,บนเขามีแพะตัวใหญ่หนึ่งตัว
21,有,yǒu,没有,méi yǒu,ไม่มี,今天没有下雨，我可以出去玩,"jīn tiān méi yǒu xià yǔ, wǒ kě yǐ chū qù wán",วันนี้ฝนไม่ตก ฉันสามารถออกไปเล่นได้
22,牛,niú,水牛,shuǐ niú,ควาย,水牛在农田里慢慢地走,shuǐ niú zài nóng tián lǐ màn màn dì zǒu,ควายน้ำเดินช้า ๆ อยู่ในนา
23,水,shuǐ,雨水,yǔ shuǐ,น้ำฝน,雨水从天空落到地上,yǔ shuǐ cóng tiān kōng luò dào dì shàng,น้ำฝนตกจากท้องฟ้าลงสู่พื้นดิน
24,中,zhōng,中间,zhōng jiān,ตรงกลาง,小猫坐在桌子的中间,xiǎo māo zuò zài zhuō zi de zhōng jiān,ลูกแมวนั่งอยู่กลางโต๊ะ
25,风,fēng,风车,fēng chē,กังหันลม,风车在风中不停地转,fēng chē zài fēng zhōng bù tíng dì zhuǎn,กังหันลมหมุนไม่หยุดท่ามกลางสายลม
26,头,tóu,头发,tóu fā,เส้นผม,她的头发又黑又长,tā de tóu fà yòu hēi yòu zhǎng,ผมของเธอดำและยาว
27,田,tián,农田,nóng tián,ไร่นา,农田里种着很多禾苗,nóng tián lǐ zhǒng zhe hěn duō hé miáo,ในไร่นามีต้นกล้าปลูกอยู่มากมาย
28,土,tǔ,土堆,tǔ duī,กองดิน,路边有一个小土堆,lù biān yǒu yí gè xiǎo tǔ duī,ข้างถนนมีกองดินเล็ก ๆ กองหนึ่ง
29,里,lǐ,里面,lǐ miàn,ข้างใน,盒子里面有一支笔,hé zi lǐ miàn yǒu yī zhī bǐ,ในกล่องมีปากกาหนึ่งด้าม
30,在,zài,正在,zhèng zài,กำลังอยู่,哥哥正在写作业,gē gē zhèng zài xiě zuò yè,พี่ชายกำลังทำการบ้าน
31,日,rì,日出,rì chū,พระอาทิตย์ขึ้น,我和爸爸一起看日出,wǒ hé bà bà yì qǐ kàn rì chū,ฉันกับพ่อดูพระอาทิตย์ขึ้นด้วยกัน
32,白,bái,白天,bái tiān,เวลากลางวัน,白天我们在学校上课,bái tiān wǒ men zài xué xiào shàng kè,ตอนกลางวันพวกเราเรียนหนังสือที่โรงเรียน
33,马,mǎ,小马,xiǎo mǎ,ลูกม้า,小马在草地上跑,xiǎo mǎ zài cǎo dì shàng pǎo,ลูกม้าวิ่งอยู่บนสนามหญ้า
34,手,shǒu,小手,xiǎo shǒu,มือเล็ก,孩子用小手拿着书,hái zi yòng xiǎo shǒu ná zhe shū,เด็กใช้มือเล็ก ๆ ถือหนังสือ
35,出,chū,出去,chū qù,ออกไป,我们一起出去玩吧,wǒ men yì qǐ chū qù wán ba,พวกเราออกไปเล่นด้วยกันเถอะ
36,王,wáng,大王,dà wáng,ราชา,故事里的大王很勇敢,gù shì lǐ de dà wáng hěn yǒng gǎn,ราชาในเรื่องราวกล้าหาญมาก
37,子,zǐ,孩子,hái zǐ,เด็ก/ลูก,孩子们在操场上玩,hái zi men zài cāo chǎng shàng wán,เด็ก ๆ กำลังเล่นอยู่ในสนาม
38,儿,ér,儿子,ér zǐ,ลูกชาย,他是爸爸的儿子,tā shì bà bà de ér zi,เขาเป็นลูกชายของพ่อ
39,女,nǚ,女孩,nǚ hái,เด็กผู้หญิง,那个女孩在笑,nà ge nǚ hái zài xiào,เด็กผู้หญิงคนนั้นกำลังยิ้ม
40,刀,dāo,刀子,dāo zǐ,มีด,妈妈用刀子切水果,mā mā yòng dāo zi qiè shuǐ guǒ,แม่ใช้มีดหั่นผลไม้
41,木,mù,木头,mù tóu,ท่อนไม้,地上有很多木头,dì shàng yǒu hěn duō mù tou,บนพื้นมีไม้มากมาย
42,鸟,niǎo,小鸟,xiǎo niǎo,นกน้อย,小鸟在树上唱歌,xiǎo niǎo zài shù shàng chàng gē,นกตัวเล็กร้องเพลงอยู่บนต้นไม้
43,伞,sǎn,雨伞,yǔ sǎn,ร่มกันฝน,下雨时我要带雨伞,xià yǔ shí wǒ yào dài yǔ sǎn,เวลาฝนตกฉันต้องพกร่ม
44,鱼,yú,小鱼,xiǎo yú,ปลาตัวเล็ก,小鱼在水里游泳,xiǎo yú zài shuǐ lǐ yóu yǒng,ปลาน้อยว่ายน้ำอยู่ในน้ำ
45,瓜,guā,西瓜,xī guā,แตงโม,西瓜又大又甜,xī guā yòu dà yòu tián,แตงโมทั้งลูกใหญ่และหวาน
46,气,qì,天气,tiān qì,สภาพอากาศ,今天天气很好,jīn tiān tiān qì hěn hǎo,วันนี้อากาศดีมาก
47,飞,fēi,飞走,fēi zǒu,บินหนีไป,小鸟看到人就飞走了,xiǎo niǎo kàn dào rén jiù fēi zǒu le,นกเห็นคนก็บินหนีไป
48,虫,chóng,虫子,chóng zǐ,ตัวแมลง,花园里有小虫子,huā yuán lǐ yǒu xiǎo chóng zi,ในสวนมีแมลงตัวเล็ก ๆ
49,米,mǐ,大米,dà mǐ,ข้าวสาร,妈妈用大米煮饭,mā mā yòng dà mǐ zhǔ fàn,แม่ใช้ข้าวสารหุงข้าว
50,云,yún,白云,bái yún,เมฆขาว,白云在天空飘,bái yún zài tiān kōng piāo,เมฆสีขาวลอยอยู่บนท้องฟ้า
51,电,diàn,电视,diàn shì,โทรทัศน์,我在看电视,wǒ zài kàn diàn shì,ฉันกำลังดูโทรทัศน์
52,石,shí,石头,shí tóu,ก้อนหิน,河边有很多石头,hé biān yǒu hěn duō shí tou,ริมแม่น้ำมีหินมากมาย
53,了,liǎo,好了,hǎo le,เสร็จแล้ว,作业写好了,zuò yè xiě hǎo le,ทำการบ้านเสร็จแล้ว
54,来,lái,出来,chū lái,ออกมา,小猫从房间里出来,xiǎo māo cóng fáng jiān lǐ chū lái,ลูกแมวเดินออกมาจากห้อง
55,玉,yù,宝玉,bǎo yù,หยกล้ำค่า,宝玉放在盒子里,bǎo yù fàng zài hé zi lǐ,หยกวางอยู่ในกล่อง
56,去,qù,出去,chū qù,ออกไป,放学后我们出去玩,fàng xué hòu wǒ men chū qù wán,หลังเลิกเรียนพวกเราออกไปเล่น
57,回,huí,回来,huí lái,กลับมา,爸爸晚上回来,bà bà wǎn shàng huí lái,พ่อกลับมาตอนกลางคืน
58,多,duō,很多,hěn duō,มากมาย,这里有很多人,zhè lǐ yǒu hěn duō rén,ที่นี่มีคนมากมาย
59,少,shǎo,多少,duō shǎo,เท่าไหร่,你有多少本书,nǐ yǒu duō shǎo běn shū,คุณมีหนังสือกี่เล่ม
60,问,wèn,问好,wèn hǎo,ทักทาย/ถามไถ่,见到老师要问好,jiàn dào lǎo shī yào wèn hǎo,เมื่อพบครูต้องทักทาย
61,早,zǎo,早上,zǎo shàng,ตอนเช้า,早上我要早起上学,zǎo shàng wǒ yào zǎo qǐ shàng xué,ตอนเช้าฉันต้องตื่นไปโรงเรียนแต่เช้า
62,巴,bā,尾巴,wěi bā,หาง,小狗摇着尾巴,xiǎo gǒu yáo zhe wěi ba,ลูกสุนัขส่ายหาง
63,父,fù,父亲,fù qīn,คุณพ่อ,父亲送我去学校,fù qīn sòng wǒ qù xué xiào,พ่อไปส่งฉันที่โรงเรียน
64,工,gōng,工人,gōng rén,คนงาน,工人在工厂工作,gōng rén zài gōng chǎng gōng zuò,คนงานทำงานอยู่ในโรงงาน
65,力,lì,力气,lì qì,แรง / กำลัง,他有很大的力气,tā yǒu hěn dà de lì qì,เขามีพละกำลังมาก
66,不,bù,不会,bú huì,ไม่เป็น/ทำไม่ได้,这个字我不会写,zhè ge zì wǒ bú huì xiě,ตัวอักษรนี้ฉันเขียนไม่เป็น
67,干,gān,干活,gān huó,ทำงาน,爸爸在家里干活,bà bà zài jiā lǐ gàn huó,พ่อทำงานอยู่ที่บ้าน
68,几,jī,几只,jī zhī,กี่ตัว,树上有几只鸟,shù shàng yǒu jǐ zhī niǎo,บนต้นไม้มีนกกี่ตัว
69,男,nán,男人,nán rén,ผู้ชาย,那个男人在等车,nà ge nán rén zài děng chē,ผู้ชายคนนั้นกำลังรอรถ
70,坐,zuò,坐车,zuò chē,นั่งรถ,我们坐车去学校,wǒ men zuò chē qù xué xiào,พวกเรานั่งรถไปโรงเรียน
71,打,dǎ,打针,dǎ zhēn,ฉีดยา,孩子害怕打针,hái zi hài pà dǎ zhēn,เด็กกลัวการฉีดยา
72,四,sì,四个,sì gè,สี่อัน,我有四个苹果,wǒ yǒu sì gè píng guǒ,ฉันมีแอปเปิลสี่ลูก
73,五,wǔ,五个,wǔ gè,ห้าอัน,桌上有五个杯子,zhuō shàng yǒu wǔ gè bēi zi,บนโต๊ะมีแก้วห้าใบ
74,六,liù,六月,liù yuè,เดือนมิถุนายน,六月天气很热,liù yuè tiān qì hěn rè,เดือนมิถุนายนอากาศร้อนมาก
75,闪,shǎn,闪电,shǎn diàn,ฟ้าแลบ / สายฟ้า,天空中出现了闪电,tiān kōng zhōng chū xiàn le shǎn diàn,บนท้องฟ้าเกิดฟ้าแลบ
76,的,de,我的,wǒ de,ของฉัน,这是我的书,zhè shì wǒ de shū,นี่คือหนังสือของฉัน
77,花,huā,花儿,huā ér,ดอกไม้,花儿在风中摇,huā ér zài fēng zhōng yáo,ดอกไม้ไหวตามลม
78,朵,duǒ,花朵,huā duǒ,ดอกไม้,花朵开得很美,huā duǒ kāi dé hěn měi,ดอกไม้บานสวยงาม
79,果,guǒ,果子,guǒ zǐ,ผลไม้,树上结了果子,shù shàng jié le guǒ zi,บนต้นไม้มีผลออกมาแล้ว
80,比,bǐ,比赛,bǐ sài,แข่งขัน,我们参加比赛,wǒ men cān jiā bǐ sài,พวกเราเข้าร่วมการแข่งขัน
81,午,wǔ,中午,zhōng wǔ,ตอนเที่ยง,中午我们一起吃饭,zhōng wǔ wǒ men yì qǐ chī fàn,ตอนเที่ยงพวกเรากินข้าวด้วยกัน
82,面,miàn,面条,miàn tiáo,บะหมี่,我喜欢吃面条,wǒ xǐ huān chī miàn tiáo,ฉันชอบกินบะหมี่
83,高,gāo,高大,gāo dà,สูงใหญ่,他又高大又强壮,tā yòu gāo dà yòu qiáng zhuàng,เขาทั้งตัวสูงและแข็งแรง
84,包,bāo,包子,bāo zǐ,ซาลาเปา,包子很好吃,bāo zi hěn hǎo chī,ซาลาเปาอร่อยมาก
85,文,wén,文化,wén huà,วัฒนธรรม,我们学习中国文化,wǒ men xué xí zhōng guó wén huà,พวกเราเรียนรู้วัฒนธรรมจีน
86,分,fēn,分开,fēn kāi,แยกออก,我们不要分开,wǒ men bú yào fēn kāi,พวกเราอย่าแยกจากกัน
87,平,píng,天平,tiān píng,เครื่องชั่ง,天平可以称重量,tiān píng kě yǐ chēng zhòng liàng,เครื่องชั่งสามารถชั่งน้ำหนักได้
88,我,wǒ,我们,wǒ mén,พวกเรา,我们一起学习,wǒ men yì qǐ xué xí,พวกเราเรียนด้วยกัน
89,连,lián,连起来,lián qǐ lái,เชื่อมต่อกัน,把线连起来,bǎ xiàn lián qǐ lái,นำเส้นเชื่อมเข้าด้วยกัน
90,元,yuán,两元,liǎng yuán,2 หยวน,这个玩具两元,zhè ge wán jù liǎng yuán,ของเล่นชิ้นนี้ราคา 2 หยวน
91,丁,dīng,布丁,bù dīng,พุดดิ้ง,我喜欢吃布丁,wǒ xǐ huān chī bù dīng,ฉันชอบกินพุดดิ้ง
92,厂,chǎng,工厂,gōng chǎng,โรงงาน,爸爸在工厂上班,bà bà zài gōng chǎng shàng bān,พ่อทำงานอยู่ในโรงงาน
93,目,mù,节目,jié mù,รายการ/โปรแกรม,这个节目很好看,zhè ge jié mù hěn hǎo kàn,รายการนี้ดูสนุกมาก
94,见,jiàn,见面,jiàn miàn,พบกัน,我们明天见面,wǒ men míng tiān jiàn miàn,พวกเราเจอกันพรุ่งนี้
95,兔,tù,兔子,tù zǐ,กระต่าย,兔子在草地上跳,tù zi zài cǎo dì shàng tiào,กระต่ายกระโดดอยู่บนสนามหญ้า
96,禾,hé,禾苗,hé miáo,ต้นกล้าข้าว,禾苗慢慢长大,hé miáo màn màn zhǎng dà,ต้นกล้าค่อย ๆ เติบโต
97,是,shì,不是,bù shì,ไม่ใช่,这不是我的书,zhè bú shì wǒ de shū,นี่ไม่ใช่หนังสือของฉัน
98,把,bǎ,把手,bǎ shǒu,ที่จับ/ด้ามจับ,门上有一个把手,mén shàng yǒu yí gè bǎ shǒu,บนประตูมีมือจับหนึ่งอัน
99,笑,xiào,笑脸,xiào liǎn,ใบหน้ายิ้มแย้ม,孩子露出笑脸,hái zi lù chū xiào liǎn,เด็กยิ้มออกมา
100,着,zhe,看着,kàn zhe,มองดู,妈妈看着我笑,mā mā kàn zhe wǒ xiào,แม่มองฉันแล้วยิ้ม
101,看,kàn,看见,kàn jiàn,เห็น,我看见小猫在睡觉,wǒ kàn jiàn xiǎo māo zài shuì jiào,ฉันเห็นลูกแมวกำลังนอนหลับ
102,会,huì,会飞,huì fēi,บินได้,小鸟会飞到天空,xiǎo niǎo huì fēi dào tiān kōng,นกตัวเล็กบินขึ้นไปบนท้องฟ้าได้
103,自,zì,自己,zì jǐ,ตัวเอง,我自己穿衣服,wǒ zì jǐ chuān yī fú,ฉันแต่งตัวด้วยตัวเอง
104,己,jǐ,自己,zì jǐ,ตัวเอง,他自己整理书包,tā zì jǐ zhěng lǐ shū bāo,เขาจัดกระเป๋านักเรียนด้วยตัวเอง
105,画,huà,画画,huà huà,วาดรูป,妹妹喜欢画画,mèi mèi xǐ huān huà huà,น้องสาวชอบวาดรูป
106,好,hǎo,好吃,hǎo chī,อร่อย,这个蛋糕很好吃,zhè ge dàn gāo hěn hǎo chī,เค้กชิ้นนี้อร่อยมาก
107,爱,ài,关爱,guān ài,ดูแลด้วยความรัก,妈妈关爱孩子,mā mā guān ài hái zi,แม่ดูแลเอาใจใส่ลูก
108,心,xīn,开心,kāi xīn,มีความสุข,我今天很开心,wǒ jīn tiān hěn kāi xīn,วันนี้ฉันมีความสุขมาก
109,也,yě,也是,yě shì,ก็เป็น/ด้วย,我也是学生,wǒ yě shì xué shēng,ฉันก็เป็นนักเรียนเหมือนกัน
110,可,kě,可乐,kě lè,โคล่า,我想喝可乐,wǒ xiǎng hē kě lè,ฉันอยากดื่มโคล่า
111,家,jiā,回家,huí jiā,กลับบ้าน,放学后我要回家,fàng xué hòu wǒ yào huí jiā,หลังเลิกเรียนฉันจะกลับบ้าน
112,爸,bà,爸爸,bà bà,คุณพ่อ,爸爸在工作,bà bà zài gōng zuò,พ่อกำลังทำงาน
113,妈,mā,妈妈,mā mā,คุณแม่,妈妈在做饭,mā mā zài zuò fàn,แม่กำลังทำอาหาร
114,这,zhè,这里,zhè lǐ,ที่นี่,我在这里等你,wǒ zài zhè lǐ děng nǐ,ฉันรอคุณอยู่ที่นี่
115,爷,yé,爷爷,yé ye,คุณปู่,爷爷在看书,yé yé zài kàn shū,คุณปู่กำลังอ่านหนังสือ
116,奶,nǎi,奶奶,nǎi nai,คุณย่า,奶奶喜欢种花,nǎi nǎi xǐ huān zhòng huā,คุณย่าชอบปลูกดอกไม้
117,们,mén,我们,wǒ mén,พวกเรา,我们一起学习,wǒ men yì qǐ xué xí,พวกเราเรียนด้วยกัน
118,书,shū,书架,shū jià,ชั้นวางหนังสือ,书在书架上,shū zài shū jià shàng,หนังสืออยู่บนชั้นหนังสือ
119,串,chuàn,一串,yī chuàn,หนึ่งไม้/หนึ่งชุด,桌上有一串葡萄,zhuō shàng yǒu yī chuàn pú táo,บนโต๊ะมีองุ่นหนึ่งพวง
120,球,qiú,足球,zú qiú,ฟุตบอล,我喜欢踢足球,wǒ xǐ huān tī zú qiú,ฉันชอบเตะฟุตบอล
121,圆,yuán,圆形,yuán xíng,วงกลม,这个球是圆形,zhè ge qiú shì yuán xíng,ลูกบอลลูกนี้เป็นทรงกลม
122,形,xíng,图形,tú xíng,รูปทรง,老师教我们图形,lǎo shī jiào wǒ men tú xíng,ครูสอนพวกเราเรื่องรูปทรง
123,长,cháng,好长,hǎo cháng,ยาวมาก,这条路好长,zhè tiáo lù hǎo zhǎng,ถนนเส้นนี้ยาวมาก
124,方,fāng,长方形,cháng fāng xíng,สี่เหลี่ยมผืนผ้า,门是长方形的,mén shì cháng fāng xíng de,ประตูเป็นรูปสี่เหลี่ยมผืนผ้า
125,正,zhèng,立正,lì zhèng,ยืนตรง,我们排队立正,wǒ men pái duì lì zhèng,พวกเราเข้าแถวและยืนตรง
126,角,jiǎo,牛角,niú jiǎo,เขาวัว,牛角长在头上,niú jiǎo zhǎng zài tóu shàng,เขาวัวงอกอยู่บนหัว
127,灯,dēng,灯光,dēng guāng,แสงไฟ,夜晚的灯光很亮,yè wǎn de dēng guāng hěn liàng,แสงไฟยามค่ำคืนสว่างมาก
128,块,kuài,土块,tǔ kuài,ก้อนดิน,地上有小土块,dì shàng yǒu xiǎo tǔ kuài,บนพื้นมีก้อนดินเล็ก ๆ
129,冰,bīng,冰雪,bīng xuě,หิมะน้ำแข็ง,冬天有冰雪,dōng tiān yǒu bīng xuě,ฤดูหนาวมีน้ำแข็งและหิมะ
130,那,nà,那边,nà biān,ตรงนั้น,学校在那边,xué xiào zài nà biān,โรงเรียนอยู่ทางนั้น
131,弓,gōng,弓箭,gōng jiàn,ธนูและลูกศร,他画了一把弓箭,tā huà le yī bǎ gōng jiàn,เขาวาดคันธนูหนึ่งอัน
132,买,mǎi,买东西,mǎi dōng xī,ซื้อของ,妈妈去买东西,mā mā qù mǎi dōng xī,แม่ไปซื้อของ
133,哪,nǎ,哪里,nǎ lǐ,ที่ไหน,你住在哪里,nǐ zhù zài nǎ lǐ,คุณอาศัยอยู่ที่ไหน
134,乐,lè,快乐,kuài lè,มีความสุข,孩子们很快乐,hái zi men hěn kuài lè,เด็ก ๆ มีความสุขมาก
135,谢,xiè,感谢,gǎn xiè,ขอบคุณ,我感谢老师,wǒ gǎn xiè lǎo shī,ฉันขอบคุณครู
136,想,xiǎng,想象,xiǎng xiàng,จินตนาการ,我喜欢想象故事,wǒ xǐ huān xiǎng xiàng gù shì,ฉันชอบจินตนาการเรื่องราว
137,抱,bào,抱一抱,bào yī bào,กอดกัน,妈妈抱一抱我,mā mā bào yī bào wǒ,แม่กอดฉัน
138,竹,zhú,竹子,zhú zǐ,ไม้ไผ่,熊猫爱吃竹子,xióng māo ài chī zhú zi,แพนด้าชอบกินไผ่
139,要,yào,想要,xiǎng yào,อยากได้,我想要新书,wǒ xiǎng yào xīn shū,ฉันอยากได้หนังสือใหม่
140,立,lì,立正,lì zhèng,ยืนตรง,大家站好立正,dà jiā zhàn hǎo lì zhèng,ทุกคนยืนตรงให้เรียบร้อย
141,耳,ěr,耳朵,ěr duǒ,ใบหู,小兔子有长耳朵,xiǎo tù zi yǒu zhǎng ěr duǒ,กระต่ายน้อยมีหูยาว
142,红,hóng,红色,hóng sè,สีแดง,苹果是红色的,píng guǒ shì hóng sè de,แอปเปิลเป็นสีแดง
143,色,sè,白色,bái sè,สีขาว,云是白色的,yún shì bái sè de,เมฆเป็นสีขาว
144,吃,chī,吃饭,chī fàn,รับประทานอาหาร,我们一起吃饭,wǒ men yì qǐ chī fàn,พวกเรากินข้าวด้วยกัน
145,香,xiāng,香味,xiāng wèi,กลิ่นหอม,厨房有香味,chú fáng yǒu xiāng wèi,ในครัวมีกลิ่นหอม
146,穿,chuān,穿过,chuān guò,ผ่านไป,小猫穿过小路,xiǎo māo chuān guò xiǎo lù,ลูกแมวเดินผ่านทางเล็ก ๆ
147,身,shēn,身体,shēn tǐ,ร่างกาย,运动对身体好,yùn dòng duì shēn tǐ hǎo,การออกกำลังกายดีต่อร่างกาย
148,它,tā,它们,tā mén,พวกมัน,它们在一起玩,tā men zài yì qǐ wán,พวกมันเล่นด้วยกัน
149,发,fā,头发,tóu fā,เส้นผม,她的头发很长,tā de tóu fà hěn zhǎng,ผมของเธอยาวมาก
150,衣,yī,衣服,yī fú,เสื้อผ้า,衣服要洗干净,yī fú yào xǐ gān jìng,เสื้อผ้าต้องซักให้สะอาด
151,他,tā,他们,tā mén,พวกเขา (ผู้ชาย),他们在踢球,tā men zài tī qiú,พวกเขากำลังเตะบอล
152,她,tā,她们,tā mén,พวกเธอ (ผู้หญิง),她们在唱歌,tā men zài chàng gē,พวกเธอกำลังร้องเพลง
153,毛,máo,毛毛虫,máo máo chóng,หนอนผีเสื้อ,毛毛虫在叶子上,máo máo chóng zài yè zi shàng,หนอนผีเสื้ออยู่บนใบไม้
154,朋,péng,朋友,péng yǒu,เพื่อน,他是我的朋友,tā shì wǒ de péng yǒu,เขาเป็นเพื่อนของฉัน
155,友,yǒu,友好,yǒu hǎo,เป็นมิตร,大家要友好相处,dà jiā yào yǒu hǎo xiāng chǔ,ทุกคนควรอยู่ร่วมกันอย่างเป็นมิตร
156,哥,gē,哥哥,gē ge,พี่ชาย,哥哥会写字,gē gē huì xiě zì,พี่ชายเขียนหนังสือได้
157,弟,dì,弟弟,dì di,น้องชาย,弟弟在玩球,dì di zài wán qiú,น้องชายกำลังเล่นบอล
158,兄,xiōng,兄弟,xiōng dì,พี่น้องผู้ชาย,他们是兄弟,tā men shì xiōng dì,พวกเขาเป็นพี่น้องกัน
159,眉,méi,眉毛,méi máo,คิ้ว,他的眉毛很粗,tā de méi máo hěn cū,คิ้วของเขาหนา
160,鼻,bí,鼻子,bí zǐ,จมูก,小狗的鼻子很灵,xiǎo gǒu de bí zi hěn líng,จมูกของลูกสุนัขไวมาก
161,光,guāng,阳光,yáng guāng,แสงแดด,阳光照进教室,yáng guāng zhào jìn jiào shì,แสงแดดส่องเข้ามาในห้องเรียน
162,星,xīng,星星,xīng xīng,ดาว,夜晚有星星,yè wǎn yǒu xīng xīng,กลางคืนมีดวงดาว
163,阳,yáng,阳光,yáng guāng,แสงอาทิตย์,早上有阳光,zǎo shàng yǒu yáng guāng,ตอนเช้ามีแสงแดด
164,亮,liàng,明亮,míng liàng,สว่างไสว,房间很明亮,fáng jiān hěn míng liàng,ห้องสว่างมาก
165,今,jīn,今天,jīn tiān,วันนี้,今天我上学,jīn tiān wǒ shàng xué,วันนี้ฉันไปโรงเรียน
166,明,míng,明亮,míng liàng,สว่างไสว,灯让教室明亮,dēng ràng jiào shì míng liàng,ไฟทำให้ห้องเรียนสว่าง
167,走,zǒu,走路,zǒu lù,เดิน,我们走路回家,wǒ men zǒu lù huí jiā,พวกเราเดินกลับบ้าน
168,兴,xìng,高兴,gāo xìng,มีความสุข,我见到你很高兴,wǒ jiàn dào nǐ hěn gāo xìng,ฉันดีใจมากที่ได้พบคุณ
169,空,kōng,空气,kōng qì,อากาศ,早上的空气很好,zǎo shàng de kōng qì hěn hǎo,อากาศตอนเช้าดีมาก
170,两,liǎng,两个,liǎng gè,สองอัน,我有两个朋友,wǒ yǒu liǎng gè péng yǒu,ฉันมีเพื่อนสองคน
171,哭,kū,大哭,dà kū,ร้องไห้จ้า,孩子摔倒大哭,hái zi shuāi dǎo dà kū,เด็กหกล้มร้องไห้เสียงดัง
172,牙,yá,虫牙,chóng yá,ฟันผุ,他有一颗虫牙,tā yǒu yī kē chóng yá,เขามีฟันผุหนึ่งซี่
173,肚,dù,肚子,dù zǐ,ท้อง,我的肚子饿了,wǒ de dù zi è le,ฉันหิวแล้ว
174,尾,wěi,尾巴,wěi bā,หาง,小狗摇尾巴,xiǎo gǒu yáo wěi ba,ลูกสุนัขส่ายหาง
175,你,nǐ,你好,nǐ hǎo,สวัสดี,老师你好,lǎo shī nǐ hǎo,สวัสดีคุณครู
176,脸,liǎn,洗脸,xǐ liǎn,ล้างหน้า,早上要洗脸,zǎo shàng yào xǐ liǎn,ตอนเช้าต้องล้างหน้า
177,黑,hēi,黑色,hēi sè,สีดำ,猫是黑色的,māo shì hēi sè de,แมวเป็นสีดำ
178,半,bàn,一半,yī bàn,ครึ่งหนึ่ง,我吃了一半,wǒ chī le yí bàn,ฉันกินไปครึ่งหนึ่ง
179,呀,yā,哎呀,āi yā,โอ๊ะ/ว้าย,哎呀，我忘记了,"āi yā, wǒ wàng jì le",โอ้ ฉันลืมไปแล้ว
180,吗,mā,在吗,zài mā,อยู่ไหม,你在吗,nǐ zài ma,คุณอยู่ไหม
181,七,qī,七个,qī gè,เจ็ดอัน,盒子里有七个球,hé zi lǐ yǒu qī gè qiú,ในกล่องมีลูกบอลเจ็ดลูก
182,八,bā,八爪鱼,bā zhuǎ yú,ปลาหมึกยักษ์,八爪鱼住在海里,bā zhǎo yú zhù zài hǎi lǐ,ปลาหมึกแปดขาอาศัยอยู่ในทะเล
183,九,jiǔ,九月,jiǔ yuè,เดือนกันยายน,九月开始上学,jiǔ yuè kāi shǐ shàng xué,เดือนกันยายนเริ่มเข้าเรียน
